,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.unit,plid,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,buildingName,hdpData.homeInfo.isRentalWithBasePrice,availabilityDate,hdpData.homeInfo.listing_sub_type.is_FSBO,streetViewURL,streetViewMetadataURL,lotAreaString,info3String,hdpData.homeInfo.videoCount
0,59141778,Pending,Non Owner Occupied,https://photos.zillowstatic.com/fp/8e78d9c31275ef542ede9711ddd594b8-p_e.jpg,True,/homedetails/9-Robken-Rd-Roslindale-MA-02131/59141778_zpid/,SOLD,Sold,"$819,500",$820K,"9 Robken Rd, Roslindale, MA 02131",3.0,2.0,1224.0,False,False,Pending,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Mikel Defrancesco,William Raveis R.E. & Home Services,71132000,42.293304,-71.13357,RECENTLY_SOLD,Sold 03/05/2024,59141778.0,9 Robken Rd,02131,Roslindale,MA,42.293304,-71.13357,819500.0,1709625600000.0,2.0,3.0,1224.0,SINGLE_FAMILY,PENDING,-1.0,False,False,809200.0,3999.0,True,False,False,819500.0,71132000.0,True,False,False,USD,USA,577400.0,4950.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,
1,59172422,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/17fa75ec2c3081b81ddc87ab10551cd6-p_e.jpg,True,/homedetails/130-Appleton-St-APT-2A-Boston-MA-02116/59172422_zpid/,SOLD,Sold,"$880,000",$880K,"130 Appleton St APT 2A, Boston, MA 02116",1.0,1.0,723.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Michael Harper,MGS Group Real Estate LTD,71132000,42.344826,-71.07499,RECENTLY_SOLD,Sold 03/05/2024,59172422.0,130 Appleton St APT 2A,02116,Boston,MA,42.344826,-71.07499,880000.0,1709625600000.0,1.0,1.0,723.0,CONDO,RECENTLY_SOLD,-1.0,False,False,888900.0,3634.0,,False,False,880000.0,71132000.0,True,False,False,USD,USA,803200.0,723.0,sqft,False,RECENTLY_SOLD,Apt 2A,,,,,,,,,,,,,,,,,,,,,
2,,,,https://photos.zillowstatic.com/fp/db4bb4b2af8381bbcbe0d5954d84252b-p_e.jpg,True,/b/70-leo-m-birmingham-pkwy-brighton-ma-5j3ZG6/,SOLD,For Rent,,,"70 Leo M Birmingham Pkwy, Brighton, MA",,,,,,,,,False,,False,False,True,False,,False,,,,71132000,42.359146,-71.14685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2akcym1c7w77r,0.0,1.0,568.0,1049379251.0,42.359146--71.14685,True,False,61.0,,,,,,,,,,,,
3,59109603,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/72bb4e8b21aa3abfb5c7f91d75011dee-p_e.jpg,True,/homedetails/64-Bakersfield-St-Dorchester-MA-02125/59109603_zpid/,SOLD,Sold,$1.25M,$1.25M,"64 Bakersfield St, Dorchester, MA 02125",6.0,3.0,3396.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Maria Docanto,RE/MAX Platinum,157532000,42.31585,-71.06113,RECENTLY_SOLD,Sold 03/04/2024,59109603.0,64 Bakersfield St,02125,Dorchester,MA,42.31585,-71.06113,1250000.0,1709539200000.0,3.0,6.0,3396.0,MULTI_FAMILY,RECENTLY_SOLD,-1.0,False,False,1265400.0,6000.0,,False,False,1250000.0,157532000.0,True,False,False,USD,USA,1056500.0,2368.0,sqft,False,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,
4,59110140,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/831ef787fbd27a4bdbdf878673bf883a-p_e.jpg,True,/homedetails/123-Norwell-St-Dorchester-MA-02121/59110140_zpid/,SOLD,Sold,"$805,000",$805K,"123 Norwell St, Dorchester, MA 02121",4.0,3.0,2400.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Nicholson Cantave,"Cantave Realty Group, Inc.",157532000,42.298183,-71.07887,RECENTLY_SOLD,Sold 03/04/2024,59110140.0,123 Norwell St,02121,Dorchester,MA,42.298183,-71.07887,805000.0,1709539200000.0,3.0,4.0,2400.0,MULTI_FAMILY,RECENTLY_SOLD,-1.0,False,False,,4964.0,,False,False,805000.0,157532000.0,True,False,False,USD,USA,439600.0,5365.0,sqft,False,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,
5,59111749,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/d7cc4b52033189cfaf4d340baf706671-p_e.jpg,True,/homedetails/8-Fowler-St-Dorchester-MA-02121/59111749_zpid/,SOLD,Sold,"$650,000",$650K,"8 Fowler St, Dorchester, MA 02121",9.0,3.0,4107.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,Joan Hoffman,Keller Williams Realty,157532000,42.30005,-71.083694,RECENTLY_SOLD,Sold 03/04/2024,59111749.0,8 Fowler St,02121,Dorchester,MA,42.30005,-71.083694,650000.0,1709539200000.0,3.0,9.0,4107.0,MULTI_FAMILY,RECENTLY_SOLD,-1.0,False,False,,8970.0,,False,False,650000.0,157532000.0,True,False,False,USD,USA,870000.0,6715.0,sqft,False,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,
6,59114165,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/71f77a46d5ba7dc96accb14ee7489d9a-p_e.jpg,True,/homedetails/14-Mellen-St-Dorchester-MA-02124/59114165_zpid/,SOLD,Sold,"$829,000",$829K,"14 Mellen St, Dorchester, MA 02124",6.0,2.0,2228.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Nicole Vermillion,"Lamacchia Realty, Inc.",157532000,42.285748,-71.06781,RECENTLY_SOLD,Sold 03/04/2024,59114165.0,14 Mellen St,02124,Dorchester,MA,42.285748,-71.06781,829000.0,1709539200000.0,2.0,6.0,2228.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,851000.0,3549.0,,False,False,829000.0,157532000.0,True,False,False,USD,USA,649300.0,5170.0,sqft,False,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,
7,59157348,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/9f6f44182dfbaeb7d133e1056f6fbebb-p_e.jpg,True,/homedetails/24-Maxfield-St-West-Roxbury-MA-02132/59157348_zpid/,SOLD,Sold,$1.48M,$1.48M,"24 Maxfield St, West Roxbury, MA 02132",4.0,4.0,2632.0,False,False,RecentlySold,RecentChange,False,True,False,False,True,False,False,,False,False,Abode with Us Team,Advisors Living - Newton,157532000,42.28027,-71.154434,RECENTLY_SOLD,Sold 03/04/2024,59157348.0,24 Maxfield St,02132,West Roxbury,MA,42.28027,-71.154434,1480000.0,1709539200000.0,4.0,4.0,2632.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1469700.0,5500.0,,False,False,1480000.0,157532000.0,True,False,False,USD,USA,1067200.0,5500.0,sqft,False,RECENTLY_SOLD,,,,,,,,,,,,,,,,,,,,,,
8,,,,https://photos.zillowstatic.com/fp/24a08e5045e2ada1a0f0d78da0f591a8-p_e.jpg,True,/b/32-fleet-st-boston-ma-5YCbqb/,SOLD,For Rent,,,"32 Fleet St, Boston, MA",,,,,,,,,False,,False,False,False,False,,False,,,,157532000,42.364487,-71.05233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,528.0,1004205833.0,42.364487--71.05233,True,False,2.0,,,,,,,,,,,,
9,71546144,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/eeb04fb47f5920ffa6ae9727374cf483-p_e.jpg,True,/homedetails/5-Stillman-Pl-APT-3-Boston-MA-02113/71546144_zpid/,SOLD,Sold,"$505,000",$505K,"5 Stillman Pl APT 3, Boston, MA 02113",1.0,1.0,410.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Zach Barron,"Core Property Group, LLC",157532000,42.364178,-71.05773,RECENTLY_SOLD,Sold 03/04/2024,71546144.0,5 Stillman Pl APT 3,02113,Boston,MA,42.364178,-71.05773,505000.0,1709539200000.0,1.0,1.0,410.0,CONDO,RECENTLY_SOLD,-1.0,False,False,517300.0,2700.0,,False,False,505000.0,157532000.0,True,False,False,USD,USA,470700.0,,,False,RECENTLY_SOLD,Apt 3,,,,,,,,,,,,,,,,,,,,,
