,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info1String,info3String,brokerName,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,minBeds,minBaths,minArea,lotId,buildingName,buildingId,isBuilding,canSaveBuilding,timeOnZillow,unitCount,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,lotAreaString,hdpData.homeInfo.isRentalWithBasePrice,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.providerListingID,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.videoCount,availabilityDate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_FSBA,plid,info2String,hdpData.homeInfo.timeOnZillow
0,6174971,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/996f50795831fc8b95e99af2d2c21b90-p_e.jpg,True,/homedetails/4400-Pebblebrook-Dr-Charlotte-NC-28208/6174971_zpid/,SOLD,Sold,"$262,500",$263K,"4400 Pebblebrook Dr, Charlotte, NC 28208",2.0,1.0,991.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4101931,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,5 Points Realty,35.235714,-80.90834,RECENTLY_SOLD,Sold 03/05/2024,6174971.0,4400 Pebblebrook Dr,28208,Charlotte,NC,35.235714,-80.90834,262500.0,1709625600000.0,1.0,2.0,991.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,252600.0,1457.0,False,False,RECENTLY_SOLD,262500.0,True,False,False,USD,USA,177200.0,0.23,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6251323,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/889ef44106d146048a88774cefbd7bed-p_e.jpg,True,/homedetails/926-Shady-Bluff-Dr-Charlotte-NC-28211/6251323_zpid/,SOLD,Sold,"$676,150",$676K,"926 Shady Bluff Dr, Charlotte, NC 28211",4.0,3.0,2678.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4102421,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,COMPASS,35.172523,-80.77861,RECENTLY_SOLD,Sold 03/05/2024,6251323.0,926 Shady Bluff Dr,28211,Charlotte,NC,35.172523,-80.77861,676150.0,1709625600000.0,3.0,4.0,2678.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,644500.0,3289.0,False,False,RECENTLY_SOLD,676150.0,True,False,False,USD,USA,612800.0,0.455,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,51530615,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/c038033f53a257350e0586e32b18dc76-p_e.jpg,True,/homedetails/4711-Ambridge-Dr-Charlotte-NC-28216/51530615_zpid/,SOLD,Sold,"$359,000",$359K,"4711 Ambridge Dr, Charlotte, NC 28216",3.0,2.0,1804.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4098585,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,Keller Williams University City,35.333748,-80.933716,RECENTLY_SOLD,Sold 03/05/2024,51530615.0,4711 Ambridge Dr,28216,Charlotte,NC,35.333748,-80.933716,359000.0,1709625600000.0,2.0,3.0,1804.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,358300.0,1917.0,False,False,RECENTLY_SOLD,359000.0,True,False,False,USD,USA,323300.0,0.22,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,https://photos.zillowstatic.com/fp/98b4bbeac2fdd96841a03184e241a536-p_e.jpg,True,/b/333-w-trade-st-charlotte-nc-5XkLH9/,SOLD,Trademark,,,"333 W Trade St, Charlotte, NC",,,,,,,,,True,,False,False,False,False,,False,,,,,35.228893,-80.84578,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,477.0,1001584997.0,Trademark,35.228893--80.84578,True,False,71116000.0,5.0,,,,,,,,,,,,,,,,,,,,,
4,6150688,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/a4de2bbd573f44a933704c15c3246052-p_e.jpg,True,/homedetails/1500-Running-Brook-Rd-Charlotte-NC-28214/6150688_zpid/,SOLD,Sold,"$375,000",$375K,"1500 Running Brook Rd, Charlotte, NC 28214",3.0,3.0,2077.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4104607,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,Keller Williams Connected,35.30415,-80.96408,RECENTLY_SOLD,Sold 03/04/2024,6150688.0,1500 Running Brook Rd,28214,Charlotte,NC,35.30415,-80.96408,375000.0,1709539200000.0,3.0,3.0,2077.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,360400.0,2184.0,False,False,RECENTLY_SOLD,375000.0,True,False,False,USD,USA,369600.0,0.34,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6207772,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/5ac8e41bf65201581c50513760aca0fb-p_e.jpg,True,/homedetails/8211-Plott-Rd-Charlotte-NC-28215/6207772_zpid/,SOLD,Sold,"$395,000",$395K,"8211 Plott Rd, Charlotte, NC 28215",3.0,3.0,1936.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4086904,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,Keller Williams Select,35.252308,-80.71856,RECENTLY_SOLD,Sold 03/04/2024,6207772.0,8211 Plott Rd,28215,Charlotte,NC,35.252308,-80.71856,395000.0,1709539200000.0,3.0,3.0,1936.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,391000.0,2294.0,False,False,RECENTLY_SOLD,395000.0,True,False,False,USD,USA,274300.0,0.44,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6226713,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/2232337cfcf6589f30687b81422fbb88-p_e.jpg,True,/homedetails/1511-Collier-Ct-Charlotte-NC-28205/6226713_zpid/,SOLD,Sold,"$265,000",$265K,"1511 Collier Ct, Charlotte, NC 28205",3.0,1.0,1093.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4107939,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,Keller Williams Connected,35.19851,-80.76514,RECENTLY_SOLD,Sold 03/04/2024,6226713.0,1511 Collier Ct,28205,Charlotte,NC,35.19851,-80.76514,265000.0,1709539200000.0,1.0,3.0,1093.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,285900.0,1849.0,False,False,RECENTLY_SOLD,265000.0,True,False,False,USD,USA,252500.0,0.2,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6245811,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6a9c8a76fc6835fd4d59edd268d3831c-p_e.jpg,True,/homedetails/1116-Providence-Rd-Charlotte-NC-28207/6245811_zpid/,SOLD,Sold,"$825,000",$825K,"1116 Providence Rd, Charlotte, NC 28207",4.0,3.0,2512.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,MLS ID #4048194,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,ProStead Realty,35.192703,-80.8252,RECENTLY_SOLD,Sold 03/04/2024,6245811.0,1116 Providence Rd,28207,Charlotte,NC,35.192703,-80.8252,825000.0,1709539200000.0,3.0,4.0,2512.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,905800.0,4740.0,False,False,RECENTLY_SOLD,825000.0,True,False,False,USD,USA,816000.0,0.35,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,https://photos.zillowstatic.com/fp/d0e908dad6c1676dd8554967e8862910-p_e.jpg,True,"/b/building/35.20395,-80.81914_ll/",SOLD,For Rent,,,"102 Colville Rd, Charlotte, NC",,,,,,,,,False,,False,False,False,False,,False,,,,,35.20395,-80.81914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,610.0,1004776191.0,,35.20395--80.81914,True,False,157516000.0,5.0,,,,,,,,,,,,,,,,,,,,,
9,6250286,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/c5713165986b79994447651fdef8207b-p_e.jpg,True,/homedetails/5337-Unaka-Ave-Charlotte-NC-28205/6250286_zpid/,SOLD,Sold,"$559,000",$559K,"5337 Unaka Ave, Charlotte, NC 28205",3.0,3.0,1505.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #4103672,https://photos.zillowstatic.com/fp/58ff50b038a3c30b717218872967ec00-zillow_web_48_23.jpg,Keller Williams South Park,35.194637,-80.76945,RECENTLY_SOLD,Sold 03/04/2024,6250286.0,5337 Unaka Ave,28205,Charlotte,NC,35.194637,-80.76945,559000.0,1709539200000.0,3.0,3.0,1505.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,567000.0,2132.0,False,False,RECENTLY_SOLD,559000.0,True,False,False,USD,USA,397800.0,0.25,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
