,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info1String,brokerName,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,lotAreaString,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,timeOnZillow,unitCount,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.videoCount,lotId,badgeInfo.type,badgeInfo.text,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.timeOnZillow,info2String,info6String,plid,availabilityDate
0,1108094,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/b2e14e6aef441fe83dc8ea0f2101aa66-p_e.jpg,True,/homedetails/838-N-Emerson-Ave-Indianapolis-IN-46219/1108094_zpid/,SOLD,Sold,"$165,000",$165K,"838 N Emerson Ave, Indianapolis, IN 46219",3.0,1.0,2400.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21960152,Highgarden Real Estate,39.780083,-86.08348,RECENTLY_SOLD,Sold 03/05/2024,1108094.0,838 N Emerson Ave,46219,Indianapolis,IN,39.780083,-86.08348,165000.0,1709625600000.0,1.0,3.0,2400.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,165500.0,1494.0,False,False,RECENTLY_SOLD,165000.0,True,False,False,USD,USA,182800.0,6534.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
1,1174024,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/2912374c486df4a45f689f4b4fe51a9d-p_e.jpg,True,/homedetails/3230-Brill-Rd-Indianapolis-IN-46227/1174024_zpid/,SOLD,Sold,"$260,000",$260K,"3230 Brill Rd, Indianapolis, IN 46227",3.0,2.0,1904.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21961666,CENTURY 21 Scheetz,39.718613,-86.154205,RECENTLY_SOLD,Sold 03/05/2024,1174024.0,3230 Brill Rd,46227,Indianapolis,IN,39.718613,-86.154205,260000.0,1709625600000.0,2.0,3.0,1904.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,1700.0,False,False,RECENTLY_SOLD,260000.0,True,False,False,USD,USA,154300.0,0.5,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,
2,1239229,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f45151de97fa8f653acb1052f858fa43-p_e.jpg,True,/homedetails/2025-Coldwater-Ct-Indianapolis-IN-46239/1239229_zpid/,SOLD,Sold,"$265,000",$265K,"2025 Coldwater Ct, Indianapolis, IN 46239",3.0,3.0,2222.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21961595,CENTURY 21 Scheetz,39.74181,-86.02905,RECENTLY_SOLD,Sold 03/05/2024,1239229.0,2025 Coldwater Ct,46239,Indianapolis,IN,39.74181,-86.02905,265000.0,1709625600000.0,3.0,3.0,2222.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,258300.0,1890.0,False,False,RECENTLY_SOLD,265000.0,True,False,False,USD,USA,278600.0,8276.4,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
3,1240228,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f21b6c667c1491b24343d952006fa060-p_e.jpg,True,/homedetails/2524-E-58th-St-Indianapolis-IN-46220/1240228_zpid/,SOLD,Sold,"$251,000",$251K,"2524 E 58th St, Indianapolis, IN 46220",2.0,2.0,1770.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21959014,CENTURY 21 Scheetz,39.858437,-86.11971,RECENTLY_SOLD,Sold 03/05/2024,1240228.0,2524 E 58th St,46220,Indianapolis,IN,39.858437,-86.11971,251000.0,1709625600000.0,2.0,2.0,1770.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,253900.0,1831.0,False,False,RECENTLY_SOLD,251000.0,True,False,False,USD,USA,185700.0,6969.6,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
4,1265602,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/67ad2be0eb16604b17615d1764bfaa4e-p_e.jpg,True,/homedetails/6220-Forest-View-Dr-Indianapolis-IN-46260/1265602_zpid/,SOLD,Sold,"$345,000",$345K,"6220 Forest View Dr, Indianapolis, IN 46260",4.0,3.0,2035.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21957249,Circle Real Estate,39.86814,-86.17658,RECENTLY_SOLD,Sold 03/05/2024,1265602.0,6220 Forest View Dr,46260,Indianapolis,IN,39.86814,-86.17658,345000.0,1709625600000.0,3.0,4.0,2035.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,342300.0,2400.0,False,False,RECENTLY_SOLD,345000.0,True,False,False,USD,USA,247800.0,0.5,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,
5,1283482,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/16d8dfd119a4b7d853fa06495fc150be-p_e.jpg,True,/homedetails/2648-Westbrook-Ave-Indianapolis-IN-46241/1283482_zpid/,SOLD,Sold,"$146,000",$146K,"2648 Westbrook Ave, Indianapolis, IN 46241",3.0,1.0,912.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21954777,Streamlined Realty,39.726845,-86.24012,RECENTLY_SOLD,Sold 03/05/2024,1283482.0,2648 Westbrook Ave,46241,Indianapolis,IN,39.726845,-86.24012,146000.0,1709625600000.0,1.0,3.0,912.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,147100.0,1150.0,False,False,RECENTLY_SOLD,146000.0,True,False,False,USD,USA,81200.0,0.36,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,
6,69389087,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/456c7e9083557e9296a9a85fae649e63-p_e.jpg,True,/homedetails/3916-Oak-Trail-Dr-Indianapolis-IN-46237/69389087_zpid/,SOLD,Sold,"$270,000",$270K,"3916 Oak Trail Dr, Indianapolis, IN 46237",3.0,2.0,1818.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21957819,RE/MAX Advanced Realty,39.689445,-86.09953,RECENTLY_SOLD,Sold 03/05/2024,69389087.0,3916 Oak Trail Dr,46237,Indianapolis,IN,39.689445,-86.09953,270000.0,1709625600000.0,2.0,3.0,1818.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,272300.0,1722.0,False,False,RECENTLY_SOLD,270000.0,True,False,False,USD,USA,241300.0,7840.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
7,112837606,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/a982475dd4167a9565726598c82bde00-p_e.jpg,True,/homedetails/43-N-Walcott-St-Indianapolis-IN-46201/112837606_zpid/,SOLD,Sold,"$50,000",$50K,"43 N Walcott St, Indianapolis, IN 46201",,,,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21932639,F.C. Tucker Company,39.76873,-86.12915,RECENTLY_SOLD,Sold 03/05/2024,112837606.0,43 N Walcott St,46201,Indianapolis,IN,39.76873,-86.12915,50000.0,1709625600000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,,1200.0,False,False,RECENTLY_SOLD,50000.0,True,False,False,USD,USA,11200.0,3920.4,sqft,False,"3,920 sqft",,,,,,,,,,,,,,,,,,,,,,,,
8,112837802,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/996ba475f722e23ed948b4c8ad21ea18-p_e.jpg,True,/homedetails/39-N-Walcott-St-Indianapolis-IN-46201/112837802_zpid/,SOLD,Sold,"$50,000",$50K,"39 N Walcott St, Indianapolis, IN 46201",,,,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21932632,F.C. Tucker Company,39.768658,-86.12915,RECENTLY_SOLD,Sold 03/05/2024,112837802.0,39 N Walcott St,46201,Indianapolis,IN,39.768658,-86.12915,50000.0,1709625600000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,,1200.0,False,False,RECENTLY_SOLD,50000.0,True,False,False,USD,USA,10100.0,3484.8,sqft,False,"3,485 sqft",,,,,,,,,,,,,,,,,,,,,,,,
9,252257760,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/1b1719d7e04c5f48ad4ee8819aff84a4-p_e.jpg,True,/homedetails/47-N-Walcott-St-Indianapolis-IN-46201/252257760_zpid/,SOLD,Sold,"$50,000",$50K,"47 N Walcott St, Indianapolis, IN 46201",,,,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21932814,F.C. Tucker Company,39.768818,-86.12915,RECENTLY_SOLD,Sold 03/05/2024,252257760.0,47 N Walcott St,46201,Indianapolis,IN,39.768818,-86.12915,50000.0,1709625600000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,,1194.0,False,False,RECENTLY_SOLD,50000.0,True,False,False,USD,USA,10900.0,3920.4,sqft,False,"3,920 sqft",,,,,,,,,,,,,,,,,,,,,,,,
10,1081039,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f8d6653c8ac87af2cdc3fe79c1f752ce-p_e.jpg,True,/homedetails/824-N-Oakland-Ave-Indianapolis-IN-46201/1081039_zpid/,SOLD,Sold,"$80,000",$80K,"824 N Oakland Ave, Indianapolis, IN 46201",2.0,1.0,2053.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21960820,"Evermark Property Group, LLC",39.778503,-86.11331,RECENTLY_SOLD,Sold 03/04/2024,1081039.0,824 N Oakland Ave,46201,Indianapolis,IN,39.778503,-86.11331,80000.0,1709539200000.0,1.0,2.0,2053.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,77800.0,1099.0,False,False,RECENTLY_SOLD,80000.0,True,False,False,USD,USA,56100.0,5227.2,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
11,1098685,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/419dc62c8ca462560a247f1fe78286c5-p_e.jpg,True,/homedetails/2838-N-Kenwood-Ave-Indianapolis-IN-46208/1098685_zpid/,SOLD,Sold,"$195,000",$195K,"2838 N Kenwood Ave, Indianapolis, IN 46208",5.0,3.0,3126.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21919263,"Ladd Realty, LLC",39.807587,-86.16042,RECENTLY_SOLD,Sold 03/04/2024,1098685.0,2838 N Kenwood Ave,46208,Indianapolis,IN,39.807587,-86.16042,195000.0,1709539200000.0,3.0,5.0,3126.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,219100.0,2535.0,False,False,RECENTLY_SOLD,195000.0,True,False,False,USD,USA,163600.0,3484.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
12,1106977,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/b0d9e8527d9454e3a03824fc99e0d7ce-p_e.jpg,True,/homedetails/437-N-Temple-Ave-Indianapolis-IN-46201/1106977_zpid/,SOLD,Sold,"$199,999",$200K,"437 N Temple Ave, Indianapolis, IN 46201",3.0,2.0,1572.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21961128,Keller Williams Indy Metro S,39.773808,-86.11852,RECENTLY_SOLD,Sold 03/04/2024,1106977.0,437 N Temple Ave,46201,Indianapolis,IN,39.773808,-86.11852,199999.0,1709539200000.0,2.0,3.0,1572.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,198400.0,1500.0,False,False,RECENTLY_SOLD,199999.0,True,False,False,USD,USA,105800.0,4356.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
13,1109995,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/ae7140f060d6ce21b4d4e6dd7200b026-p_e.jpg,True,/homedetails/3417-Carrollton-Ave-Indianapolis-IN-46205/1109995_zpid/,SOLD,Sold,"$233,691",$234K,"3417 Carrollton Ave, Indianapolis, IN 46205",3.0,2.0,2968.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,MLS ID #21959996,CENTURY 21 Scheetz,39.818226,-86.14328,RECENTLY_SOLD,Sold 03/04/2024,1109995.0,3417 Carrollton Ave,46205,Indianapolis,IN,39.818226,-86.14328,233691.0,1709539200000.0,2.0,3.0,2968.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,250400.0,1797.0,False,False,RECENTLY_SOLD,233691.0,True,False,False,USD,USA,247900.0,8712.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
