,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,info3String,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.unit,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,timeOnZillow,unitCount,lotAreaString,hdpData.homeInfo.taxAssessedValue,lotId,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,plid,hdpData.homeInfo.timeOnZillow,streetViewURL,streetViewMetadataURL
0,2054112478,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/cea5e586a8eb49a39de014d59cfd6a13-p_e.jpg,True,/homedetails/225-Meriwether-Blvd-LOT-156-Nashville-TN-37221/2054112478_zpid/,SOLD,Sold,$1.44M,$1.44M,"225 Meriwether Blvd LOT 156, Nashville, TN 37221",5.0,5.0,3283.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.028477,-86.96569,RECENTLY_SOLD,Sold 03/05/2024,2054112478.0,225 Meriwether Blvd LOT 156,37221,Nashville,TN,36.028477,-86.96569,1435000.0,1709625600000.0,5.0,5.0,3283.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1444600.0,6408.0,False,False,RECENTLY_SOLD,1435000.0,True,False,False,USD,USA,Lot 156,9147.6,sqft,False,,,,,,,,,,,,,,,,,,,,,
1,,,,https://photos.zillowstatic.com/fp/3bb43886a9690fe998c0f71f4256282a-p_e.jpg,True,"/b/building/36.13041,-86.85968_ll/",SOLD,For Rent,,,"80A Brookwood Ter, Nashville, TN",,,,,,,,,False,,False,False,False,False,,False,,,,36.13041,-86.85968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4346.0,36.13041--86.85968,True,False,71128000.0,2.0,,,,,,,,,,,,,
2,2062932753,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/983722e58409e548771599d15876b401-p_e.jpg,True,/homedetails/836-Goswell-Dr-104-Nolensville-TN-37135/2062932753_zpid/,SOLD,Sold,"$306,000",$306K,"836 Goswell Dr #104, Nolensville, TN 37135",2.0,2.0,1156.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,35.983772,-86.61186,RECENTLY_SOLD,Sold 03/05/2024,2062932753.0,836 Goswell Dr #104,37135,Nolensville,TN,35.983772,-86.61186,306000.0,1709625600000.0,2.0,2.0,1156.0,CONDO,RECENTLY_SOLD,-1.0,False,False,315300.0,1949.0,False,False,RECENTLY_SOLD,306000.0,True,False,False,USD,USA,# 104,,,False,,,,,,,,,,,,,,,,,,,,,
3,2074906328,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/eb73aa9cb7ff080a16e086c193a67a14-p_e.jpg,True,/homedetails/0-Rawlings-Rd-Joelton-TN-37080/2074906328_zpid/,SOLD,Sold,"$152,421",$152K,"0 Rawlings Rd, Joelton, TN 37080",,,,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.311794,-86.902725,RECENTLY_SOLD,Sold 03/05/2024,2074906328.0,0 Rawlings Rd,37080,Joelton,TN,36.311794,-86.902725,152421.0,1709625600000.0,,,,LOT,RECENTLY_SOLD,-1.0,False,False,,1794.0,False,False,RECENTLY_SOLD,152421.0,True,False,False,USD,USA,,5.0,acres,False,,,,,,,,,5 acres,,,,,,,,,,,,
4,41067192,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/8067ee68f2a1f276f79e4b9aa2019ec3-p_e.jpg,True,/homedetails/805-Coggin-Pass-Madison-TN-37115/41067192_zpid/,SOLD,Sold,"$415,000",$415K,"805 Coggin Pass, Madison, TN 37115",4.0,2.0,1735.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.240696,-86.67959,RECENTLY_SOLD,Sold 03/04/2024,41067192.0,805 Coggin Pass,37115,Madison,TN,36.240696,-86.67959,415000.0,1709539200000.0,2.0,4.0,1735.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,413400.0,2299.0,False,False,RECENTLY_SOLD,415000.0,True,False,False,USD,USA,,0.45,acres,False,,,,,,,,,,258000.0,,,,,,,,,,,
5,41070764,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/85131a073f8ec95e5a4dc008fc45e9d0-p_e.jpg,True,/homedetails/4141-Boyd-Dr-Nashville-TN-37218/41070764_zpid/,SOLD,Sold,"$319,000",$319K,"4141 Boyd Dr, Nashville, TN 37218",3.0,1.0,1100.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.226498,-86.82734,RECENTLY_SOLD,Sold 03/04/2024,41070764.0,4141 Boyd Dr,37218,Nashville,TN,36.226498,-86.82734,319000.0,1709539200000.0,1.0,3.0,1100.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,307400.0,1650.0,False,False,RECENTLY_SOLD,319000.0,True,False,False,USD,USA,,0.25,acres,False,,,,,,,,,,225000.0,,,,,,,,,,,
6,41085864,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/56345ffce893a0488f8357df1824250c-p_e.jpg,True,/homedetails/1525-Norvel-Ave-Nashville-TN-37216/41085864_zpid/,SOLD,Sold,"$440,000",$440K,"1525 Norvel Ave, Nashville, TN 37216",3.0,1.0,1007.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.212395,-86.71872,RECENTLY_SOLD,Sold 03/04/2024,41085864.0,1525 Norvel Ave,37216,Nashville,TN,36.212395,-86.71872,440000.0,1709539200000.0,1.0,3.0,1007.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,417800.0,1994.0,False,False,RECENTLY_SOLD,440000.0,True,False,False,USD,USA,,10018.8,sqft,False,,,,,,,,,,306000.0,,,,,,,,,,,
7,41143125,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/d69f515bc8d7121da60a2afb492a1f5e-p_e.jpg,True,/homedetails/261-Hillsboro-Pl-Nashville-TN-37215/41143125_zpid/,SOLD,Sold,"$339,000",$339K,"261 Hillsboro Pl, Nashville, TN 37215",2.0,2.0,1016.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.121326,-86.80576,RECENTLY_SOLD,Sold 03/04/2024,41143125.0,261 Hillsboro Pl,37215,Nashville,TN,36.121326,-86.80576,339000.0,1709539200000.0,2.0,2.0,1016.0,CONDO,RECENTLY_SOLD,-1.0,False,False,342000.0,1994.0,False,False,RECENTLY_SOLD,339000.0,True,False,False,USD,USA,,871.2,sqft,False,,,,,,,,,,255300.0,,,,,,,,,,,
8,41147356,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/72c5706e8891365e2ec5ed88e3662bbc-p_e.jpg,True,/homedetails/945-Woodmont-Blvd-Nashville-TN-37204/41147356_zpid/,SOLD,Sold,$1.23M,$1.23M,"945 Woodmont Blvd, Nashville, TN 37204",4.0,4.0,3104.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.11045,-86.78665,RECENTLY_SOLD,Sold 03/04/2024,41147356.0,945 Woodmont Blvd,37204,Nashville,TN,36.11045,-86.78665,1225000.0,1709539200000.0,4.0,4.0,3104.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1292200.0,5967.0,False,False,RECENTLY_SOLD,1225000.0,True,False,False,USD,USA,,0.25,acres,False,,,,,,,,,,819600.0,,,,,,,,,,,
9,41167586,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/620e6b8af933d618a5e9796e8cc9e74c-p_e.jpg,True,/homedetails/3579-Couchville-Pike-Hermitage-TN-37076/41167586_zpid/,SOLD,Sold,"$650,000",$650K,"3579 Couchville Pike, Hermitage, TN 37076",3.0,2.0,2160.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RealTracs MLS as distributed by MLS GRID,https://photos.zillowstatic.com/fp/4dff87a5713b987022bf15b252f758d0-zillow_web_48_23.jpg,36.095722,-86.546814,RECENTLY_SOLD,Sold 03/04/2024,41167586.0,3579 Couchville Pike,37076,Hermitage,TN,36.095722,-86.546814,650000.0,1709539200000.0,2.0,3.0,2160.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,665900.0,2449.0,False,False,RECENTLY_SOLD,650000.0,True,False,False,USD,USA,,6.16,acres,False,,,,,,,,,,430800.0,,,,,,,,,,,
