,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.videoCount,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,timeOnZillow,unitCount,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.unit,plid,lotAreaString,hdpData.homeInfo.listing_sub_type.is_FSBO,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange
0,45047068,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/77372a2a905b120f66d2fd698f0e5605-p_e.jpg,True,/homedetails/4417-Culbreath-Ave-Tampa-FL-33609/45047068_zpid/,SOLD,Sold,$2.15M,$2.15M,"4417 Culbreath Ave, Tampa, FL 33609",4.0,4.0,4138.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,COLDWELL BANKER REALTY,27.935596,-82.518936,RECENTLY_SOLD,Sold 03/05/2024,45047068.0,4417 Culbreath Ave,33609,Tampa,FL,27.935596,-82.518936,2150000.0,1709625600000.0,4.0,4.0,4138.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,2225600.0,10811.0,False,False,RECENTLY_SOLD,2150000.0,True,False,False,USD,USA,1439560.0,9380.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
1,45097119,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/26850515442933f8aa6aca7e6ec70a41-p_e.jpg,True,/homedetails/6710-N-13th-St-Tampa-FL-33604/45097119_zpid/,SOLD,Sold,"$350,000",$350K,"6710 N 13th St, Tampa, FL 33604",2.0,1.0,1232.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,"COMPASS FLORIDA, LLC",28.008615,-82.4454,RECENTLY_SOLD,Sold 03/05/2024,45097119.0,6710 N 13th St,33604,Tampa,FL,28.008615,-82.4454,350000.0,1709625600000.0,1.0,2.0,1232.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,2299.0,False,False,RECENTLY_SOLD,350000.0,True,False,False,USD,USA,306708.0,0.39150596877869603,acres,False,,,,,,,,,,,,,,,,,,,,,
2,46409182,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/980d986ed474dc44f8f6e41c265e186d-p_e.jpg,True,/homedetails/6201-Staunton-Dr-Holiday-FL-34690/46409182_zpid/,SOLD,Sold,"$220,000",$220K,"6201 Staunton Dr, Holiday, FL 34690",2.0,2.0,960.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,CITY BREEZE ACTION REALTY,28.2087,-82.71209,RECENTLY_SOLD,Sold 03/05/2024,46409182.0,6201 Staunton Dr,34690,Holiday,FL,28.2087,-82.71209,220000.0,1709625600000.0,2.0,2.0,960.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,217800.0,1597.0,False,False,RECENTLY_SOLD,220000.0,True,False,False,USD,USA,137900.0,6745.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
3,46411891,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/77afcccfe4822e7f333bfebacb204683-p_e.jpg,True,/homedetails/7801-Chalafonte-Dr-Port-Richey-FL-34668/46411891_zpid/,SOLD,Sold,"$172,000",$172K,"7801 Chalafonte Dr, Port Richey, FL 34668",2.0,2.0,1004.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,CENTURY 21 PALM REALTY,28.299742,-82.686066,RECENTLY_SOLD,Sold 03/05/2024,46411891.0,7801 Chalafonte Dr,34668,Port Richey,FL,28.299742,-82.686066,172000.0,1709625600000.0,2.0,2.0,1004.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,182900.0,1594.0,False,False,RECENTLY_SOLD,172000.0,True,False,False,USD,USA,124416.0,6375.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
4,46418384,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/cbd06429d1a9c2b9de51327ec39af0af-p_e.jpg,True,/homedetails/9444-Richwood-Ln-Port-Richey-FL-34668/46418384_zpid/,SOLD,Sold,"$235,000",$235K,"9444 Richwood Ln, Port Richey, FL 34668",2.0,1.0,980.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,GRAYSTONE REAL ESTATE,28.294834,-82.682144,RECENTLY_SOLD,Sold 03/05/2024,46418384.0,9444 Richwood Ln,34668,Port Richey,FL,28.294834,-82.682144,235000.0,1709625600000.0,1.0,2.0,980.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,232100.0,1495.0,False,False,RECENTLY_SOLD,235000.0,True,False,False,USD,USA,126542.0,5950.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
5,46426888,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/ab8df77c9959a5eba73a8222296450e9-p_e.jpg,True,/homedetails/39147-Otis-Allen-Rd-Zephyrhills-FL-33540/46426888_zpid/,SOLD,Sold,"$365,000",$365K,"39147 Otis Allen Rd, Zephyrhills, FL 33540",3.0,2.0,1740.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,REDFIN CORPORATION,28.274296,-82.16824,RECENTLY_SOLD,Sold 03/05/2024,46426888.0,39147 Otis Allen Rd,33540,Zephyrhills,FL,28.274296,-82.16824,365000.0,1709625600000.0,2.0,3.0,1740.0,MANUFACTURED,RECENTLY_SOLD,-1.0,False,False,373000.0,2221.0,False,False,RECENTLY_SOLD,365000.0,True,False,False,USD,USA,246868.0,1.75,acres,False,,,,,,,,,,,,,,,,,,,,,
6,46436754,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/611c3529536c3ab1990d43fb6416b3f0-p_e.jpg,True,/homedetails/2057-Ground-Squirrel-Dr-New-Port-Richey-FL-34655/46436754_zpid/,SOLD,Sold,"$420,000",$420K,"2057 Ground Squirrel Dr, New Port Richey, FL 34655",3.0,3.0,1876.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,CHARLES RUTENBERG REALTY INC,28.189398,-82.68987,RECENTLY_SOLD,Sold 03/05/2024,46436754.0,2057 Ground Squirrel Dr,34655,New Port Richey,FL,28.189398,-82.68987,420000.0,1709625600000.0,3.0,3.0,1876.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,416500.0,2500.0,False,False,RECENTLY_SOLD,420000.0,True,False,False,USD,USA,317837.0,7350.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
7,46950197,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/84253a9092422e7f846b8f0c9e6cae51-p_e.jpg,True,/homedetails/8541-42nd-Ave-N-Saint-Petersburg-FL-33709/46950197_zpid/,SOLD,Sold,"$685,000",$685K,"8541 42nd Ave N, Saint Petersburg, FL 33709",3.0,2.0,1020.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,COLDWELL BANKER PICKETT FENCES REALTY,27.809473,-82.76103,RECENTLY_SOLD,Sold 03/05/2024,46950197.0,8541 42nd Ave N,33709,Saint Petersburg,FL,27.809473,-82.76103,685000.0,1709625600000.0,2.0,3.0,1020.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,728800.0,2212.0,False,False,RECENTLY_SOLD,685000.0,True,False,False,USD,USA,453760.0,6499.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
8,47015490,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/7ac1bd5c90e8830a4fe6afe96ec13f63-p_e.jpg,True,/homedetails/192-Lido-Dr-Saint-Pete-Beach-FL-33706/47015490_zpid/,SOLD,Sold,"$600,000",$600K,"192 Lido Dr, Saint Pete Beach, FL 33706",2.0,2.0,1245.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,SMITH & ASSOCIATES REAL ESTATE,27.719816,-82.736404,RECENTLY_SOLD,Sold 03/05/2024,47015490.0,192 Lido Dr,33706,Saint Pete Beach,FL,27.719816,-82.736404,600000.0,1709625600000.0,2.0,2.0,1245.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,588600.0,4999.0,False,False,RECENTLY_SOLD,600000.0,True,False,False,USD,USA,380326.0,5973.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
9,47033569,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6ad1682b5c67d4be15dc0af3ed688a19-p_e.jpg,True,/homedetails/15520-Gulf-Blvd-Redington-Beach-FL-33708/47033569_zpid/,SOLD,Sold,$5.29M,$5.29M,"15520 Gulf Blvd, Redington Beach, FL 33708",5.0,6.0,4570.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,CENTURY 21 RE CHAMPIONS,27.805077,-82.807076,RECENTLY_SOLD,Sold 03/05/2024,47033569.0,15520 Gulf Blvd,33708,Redington Beach,FL,27.805077,-82.807076,5294110.0,1709625600000.0,6.0,5.0,4570.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,5036900.0,25852.0,False,False,RECENTLY_SOLD,5294110.0,True,False,False,USD,USA,3574115.0,9500.0,sqft,False,,,,,,,,,,,,,,,,,,,,,
