,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,minBeds,minBaths,minArea,lotId,buildingName,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.unit,availabilityDate,isR4R,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.rentalMarketingSubType,info3String,plid,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.videoCount,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,streetViewURL,streetViewMetadataURL,lotAreaString
0,49011743,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/76777a91f8a627add31ea70779a37c36-p_e.jpg,True,/homedetails/1405-N-46th-St-Seattle-WA-98103/49011743_zpid/,SOLD,Sold,$1.03M,$1.03M,"1405 N 46th Street, Seattle, WA 98103",5.0,3.0,2120.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,71108000,47.66188,-122.34033,RECENTLY_SOLD,Sold 03/05/2024,49011743.0,1405 N 46th Street,98103,Seattle,WA,47.66188,-122.34033,1030000.0,1709625600000.0,3.0,5.0,2120.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,957500.0,4400.0,False,False,RECENTLY_SOLD,1030000.0,71108000.0,True,False,False,USD,USA,985000.0,3332.34,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,https://photos.zillowstatic.com/fp/1b0aef90f427ef6102744f42faddf4f7-p_e.jpg,True,/b/800-hiawatha-pl-s-seattle-wa-9VXj9C/,SOLD,Jackson Pl Co-Housing,,,"800 Hiawatha Pl S, Seattle, WA",,,,,,,,,True,,False,False,False,False,,False,,,71108000,47.595245,-122.30955,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,942.0,2118825228.0,Jackson Pl Co-Housing,47.595245--122.30955,True,False,2.0,,,,,,,,,,,,,,,
2,2069945567,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/7616dc78960d81c5d64ea88dba0b5210-p_e.jpg,True,/homedetails/2411-W-Boston-St-B-Seattle-WA-98199/2069945567_zpid/,SOLD,Sold,"$595,000",$595K,"2411 W Boston Street UNIT B, Seattle, WA 98199",1.0,1.0,1001.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,71108000,47.63827,-122.38865,RECENTLY_SOLD,Sold 03/05/2024,2069945567.0,2411 W Boston Street UNIT B,98199,Seattle,WA,47.63827,-122.38865,595000.0,1709625600000.0,1.0,1.0,1001.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,608300.0,2800.0,False,False,RECENTLY_SOLD,595000.0,71108000.0,True,False,False,USD,USA,,1010.592,sqft,False,,,,,,,,,,# B,,,,,,,,,,,,,,
3,48943110,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/2e6dfdc18b053f966060da4ad5d412ad-p_e.jpg,True,/homedetails/2510-W-Bertona-St-APT-212-Seattle-WA-98199/48943110_zpid/,SOLD,Sold,"$385,000",$385K,"2510 W Bertona Street UNIT 212, Seattle, WA 98199",1.0,1.0,769.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.650707,-122.389305,RECENTLY_SOLD,Sold 03/04/2024,48943110.0,2510 W Bertona Street UNIT 212,98199,Seattle,WA,47.650707,-122.389305,385000.0,1709539200000.0,1.0,1.0,769.0,CONDO,RECENTLY_SOLD,-1.0,False,False,365000.0,1999.0,False,False,RECENTLY_SOLD,385000.0,157508000.0,True,False,False,USD,USA,342000.0,,,False,,,,,,,,,,Apt 212,,,,,,,,,,,,,,
4,48980861,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/e5619e7f6b9a36bb82040649b308e230-p_e.jpg,True,/homedetails/9253-24th-Ave-NW-Seattle-WA-98117/48980861_zpid/,SOLD,Sold,$2.20M,$2.20M,"9253 24th Avenue NW, Seattle, WA 98117",3.0,3.0,3360.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.697556,-122.38785,RECENTLY_SOLD,Sold 03/04/2024,48980861.0,9253 24th Avenue NW,98117,Seattle,WA,47.697556,-122.38785,2200000.0,1709539200000.0,3.0,3.0,3360.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1967100.0,5140.0,False,False,RECENTLY_SOLD,2200000.0,157508000.0,True,False,False,USD,USA,1605000.0,7501.032,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
5,49016813,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f5756128081263271217375456e12126-p_e.jpg,True,/homedetails/6125-S-Keppler-St-Seattle-WA-98118/49016813_zpid/,SOLD,Sold,$1.08M,$1.08M,"6125 S Keppler, Seattle, WA 98118",4.0,3.0,2600.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.516445,-122.25629,RECENTLY_SOLD,Sold 03/04/2024,49016813.0,6125 S Keppler,98118,Seattle,WA,47.516445,-122.25629,1075000.0,1709539200000.0,3.0,4.0,2600.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1093700.0,3996.0,False,False,RECENTLY_SOLD,1075000.0,157508000.0,True,False,False,USD,USA,868000.0,7501.032,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
6,49041015,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/141fb139087be0d5874c4a10db9c1c81-p_e.jpg,True,/homedetails/117-N-46th-St-Seattle-WA-98103/49041015_zpid/,SOLD,Sold,$1.07M,$1.07M,"117 N 46th Street, Seattle, WA 98103",3.0,3.0,2130.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.662117,-122.356964,RECENTLY_SOLD,Sold 03/04/2024,49041015.0,117 N 46th Street,98103,Seattle,WA,47.662117,-122.356964,1069000.0,1709539200000.0,3.0,3.0,2130.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,1040200.0,4200.0,False,False,RECENTLY_SOLD,1069000.0,157508000.0,True,False,False,USD,USA,970000.0,2522.124,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
7,49065117,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/623a6113b9033b16622c05dd93b3f104-p_e.jpg,True,/homedetails/708-S-Director-St-Seattle-WA-98108/49065117_zpid/,SOLD,Sold,"$380,000",$380K,"708 S Director Street, Seattle, WA 98108",2.0,1.0,580.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.52247,-122.325226,RECENTLY_SOLD,Sold 03/04/2024,49065117.0,708 S Director Street,98108,Seattle,WA,47.52247,-122.325226,380000.0,1709539200000.0,1.0,2.0,580.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,405600.0,2100.0,False,False,RECENTLY_SOLD,380000.0,157508000.0,True,False,False,USD,USA,338000.0,5998.212,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
8,49119634,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/789e835d6b4e8ccd98a86849f7633e1f-p_e.jpg,True,/homedetails/7273-27th-Ave-NE-Seattle-WA-98115/49119634_zpid/,SOLD,Sold,"$850,000",$850K,"7273 27th Avenue NE, Seattle, WA 98115",3.0,2.0,2660.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.68276,-122.298904,RECENTLY_SOLD,Sold 03/04/2024,49119634.0,7273 27th Avenue NE,98115,Seattle,WA,47.68276,-122.298904,850000.0,1709539200000.0,2.0,3.0,2660.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,842100.0,4500.0,False,False,RECENTLY_SOLD,850000.0,157508000.0,True,False,False,USD,USA,880000.0,5832.684,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
9,49124161,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/46ef816dd10e0f8f6188517c1c29978e-p_e.jpg,True,/homedetails/1509-45th-Ave-SW-Seattle-WA-98116/49124161_zpid/,SOLD,Sold,$1.58M,$1.58M,"1509 45th Avenue SW, Seattle, WA 98116",4.0,2.0,3540.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,Listing provided by NWMLS,157508000,47.59018,-122.38933,RECENTLY_SOLD,Sold 03/04/2024,49124161.0,1509 45th Avenue SW,98116,Seattle,WA,47.59018,-122.38933,1575000.0,1709539200000.0,2.0,4.0,3540.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1587000.0,5500.0,False,False,RECENTLY_SOLD,1575000.0,157508000.0,True,False,False,USD,USA,1139000.0,6250.86,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
