,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasAdditionalAttributions,latitude,longitude,city,state,price,homeType,rentZestimate
0,Non Owner Occupied,True,Sold,3.0,2.0,1224.0,Unknown Listed By,False,True,42.293304,-71.13357,Roslindale,MA,819500.0,SINGLE_FAMILY,3999.0
1,RecentChange,True,Sold,1.0,1.0,723.0,Unknown Listed By,False,True,42.344826,-71.07499,Boston,MA,880000.0,CONDO,3634.0
2,RecentChange,True,Sold,6.0,3.0,3396.0,Unknown Listed By,False,True,42.31585,-71.06113,Dorchester,MA,1250000.0,MULTI_FAMILY,6000.0
3,RecentChange,True,Sold,4.0,3.0,2400.0,Unknown Listed By,False,True,42.298183,-71.07887,Dorchester,MA,805000.0,MULTI_FAMILY,4964.0
4,RecentChange,True,Sold,9.0,3.0,4107.0,RecentChange,False,True,42.30005,-71.083694,Dorchester,MA,650000.0,MULTI_FAMILY,8970.0
5,RecentChange,True,Sold,6.0,2.0,2228.0,Unknown Listed By,False,True,42.285748,-71.06781,Dorchester,MA,829000.0,SINGLE_FAMILY,3549.0
6,RecentChange,True,Sold,4.0,4.0,2632.0,RecentChange,True,True,42.28027,-71.154434,West Roxbury,MA,1480000.0,SINGLE_FAMILY,5500.0
7,RecentChange,True,Sold,1.0,1.0,410.0,Unknown Listed By,False,True,42.364178,-71.05773,Boston,MA,505000.0,CONDO,2700.0
8,RecentChange,True,Sold,5.0,4.0,4171.0,Unknown Listed By,False,True,42.35283,-71.07979,Boston,MA,3900000.0,CONDO,13556.0
9,RecentChange,True,Sold,3.0,2.0,1510.0,Unknown Listed By,False,True,42.271633,-71.12534,Hyde Park,MA,651000.0,SINGLE_FAMILY,3884.0
10,RecentChange,True,Sold,3.0,3.0,1466.0,RecentChange,True,True,42.271313,-71.13098,Roslindale,MA,805000.0,SINGLE_FAMILY,3994.0
11,RecentChange,True,Sold,2.0,2.0,1081.0,Unknown Listed By,False,True,42.331898,-71.04182,South Boston,MA,636000.0,CONDO,3200.0
12,RecentChange,True,Sold,2.0,3.0,1670.0,RecentChange,False,True,42.332127,-71.04878,South Boston,MA,900000.0,SINGLE_FAMILY,3069.0
13,RecentChange,True,Sold,4.0,2.0,1854.0,RecentChange,False,True,42.27171,-71.170586,West Roxbury,MA,775000.0,SINGLE_FAMILY,3699.0
14,RecentChange,True,Sold,3.0,2.0,1360.0,RecentChange,False,True,42.344933,-71.08987,Boston,MA,959000.0,CONDO,4999.0
15,RecentChange,True,Sold,6.0,3.0,3133.0,RecentChange,False,True,42.322266,-71.08771,Roxbury,MA,800000.0,MULTI_FAMILY,6213.0
16,RecentChange,True,Sold,2.0,2.0,711.0,RecentChange,False,True,42.378384,-71.06595,Boston,MA,725000.0,TOWNHOUSE,3599.0
17,RecentChange,True,Sold,2.0,1.0,947.0,RecentChange,False,True,42.304363,-71.104904,Jamaica Plain,MA,651000.0,CONDO,2814.0
18,RecentChange,True,Sold,1.0,1.0,615.0,RecentChange,False,True,42.286606,-71.04047,Dorchester,MA,511800.0,CONDO,
19,RecentChange,True,Sold,3.0,1.0,1398.0,RecentChange,False,True,42.280052,-71.118256,Roslindale,MA,620000.0,TOWNHOUSE,
20,RecentChange,True,Sold,3.0,2.0,1224.0,RecentChange,False,True,42.269657,-71.1257,Hyde Park,MA,529000.0,SINGLE_FAMILY,3900.0
21,RecentChange,True,Sold,1.0,1.0,677.0,RecentChange,False,True,42.354477,-71.077225,Boston,MA,950000.0,CONDO,4800.0
22,RecentChange,True,Sold,10.0,3.0,2905.0,RecentChange,False,True,42.319515,-71.08871,Roxbury,MA,1150000.0,MULTI_FAMILY,8991.0
23,RecentChange,True,Sold,3.0,4.0,2604.0,RecentChange,False,True,42.342037,-71.07154,Boston,MA,3400000.0,CONDO,11082.0
24,RecentChange,True,Sold,2.0,1.0,810.0,RecentChange,True,True,42.32463,-71.10913,Jamaica Plain,MA,590000.0,CONDO,2900.0
25,RecentChange,True,Sold,3.0,1.0,1824.0,RecentChange,True,True,42.28037,-71.1316,Roslindale,MA,600000.0,CONDO,3499.0
26,RecentChange,True,Sold,2.0,1.0,913.0,RecentChange,False,True,42.289303,-71.04894,Dorchester,MA,450000.0,CONDO,2600.0
27,RecentChange,True,Sold,2.0,2.0,1210.0,RecentChange,False,True,42.34079,-71.07698,Boston,MA,1585000.0,CONDO,4999.0
