,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
0,Non Owner Occupied,True,Sold,3.0,2.0,1224.0,Unknown Listed By,False,False,True,42.293304,-71.13357,Sold 03/05/2024,9 Robken Rd,2131.0,Roslindale,MA,SINGLE_FAMILY,3999.0,819500.0,
1,RecentChange,True,Sold,1.0,1.0,723.0,Unknown Listed By,False,False,True,42.344826,-71.07499,Sold 03/05/2024,130 Appleton St APT 2A,2116.0,Boston,MA,CONDO,3634.0,880000.0,RECENTLY_SOLD
2,RecentChange,True,Sold,6.0,3.0,3396.0,Unknown Listed By,False,False,True,42.31585,-71.06113,Sold 03/04/2024,64 Bakersfield St,2125.0,Dorchester,MA,MULTI_FAMILY,6000.0,1250000.0,RECENTLY_SOLD
3,RecentChange,True,Sold,4.0,3.0,2400.0,Unknown Listed By,False,False,True,42.298183,-71.07887,Sold 03/04/2024,123 Norwell St,2121.0,Dorchester,MA,MULTI_FAMILY,4964.0,805000.0,RECENTLY_SOLD
4,RecentChange,True,Sold,9.0,3.0,4107.0,RecentChange,False,False,True,42.30005,-71.083694,Sold 03/04/2024,8 Fowler St,2121.0,Dorchester,MA,MULTI_FAMILY,8970.0,650000.0,RECENTLY_SOLD
5,RecentChange,True,Sold,6.0,2.0,2228.0,Unknown Listed By,False,False,True,42.285748,-71.06781,Sold 03/04/2024,14 Mellen St,2124.0,Dorchester,MA,SINGLE_FAMILY,3549.0,829000.0,RECENTLY_SOLD
6,RecentChange,True,Sold,4.0,4.0,2632.0,RecentChange,True,False,True,42.28027,-71.154434,Sold 03/04/2024,24 Maxfield St,2132.0,West Roxbury,MA,SINGLE_FAMILY,5500.0,1480000.0,RECENTLY_SOLD
7,RecentChange,True,Sold,1.0,1.0,410.0,Unknown Listed By,False,False,True,42.364178,-71.05773,Sold 03/04/2024,5 Stillman Pl APT 3,2113.0,Boston,MA,CONDO,2700.0,505000.0,RECENTLY_SOLD
8,RecentChange,True,Sold,5.0,4.0,4171.0,Unknown Listed By,False,False,True,42.35283,-71.07979,Sold 03/04/2024,175 Marlborough St,2116.0,Boston,MA,CONDO,13556.0,3900000.0,RECENTLY_SOLD
9,RecentChange,True,Sold,3.0,2.0,1510.0,Unknown Listed By,False,False,True,42.271633,-71.12534,Sold 03/01/2024,20 Windham Rd,2136.0,Hyde Park,MA,SINGLE_FAMILY,3884.0,651000.0,RECENTLY_SOLD
